timestamp,312Hz,781Hz,1250Hz,1718Hz,2187Hz,2656Hz,3125Hz,3593Hz,4062Hz,4531Hz,5000Hz,5468Hz,5937Hz,6406Hz,6875Hz,7343Hz,7812Hz,8281Hz,8750Hz,9218Hz
2025-03-18T00:00:35,172.65472972972972,157.2418918918919,155.08310810810812,171.80202702702704,159.31621621621622,124.69932432432432,198.96891891891892,126.99864864864865,121.31351351351351,116.54121621621621,121.54256756756757,128.73648648648648,152.4668918918919,94.52972972972972,153.76351351351352,138.58783783783784,123.83513513513513,121.34324324324324,126.74594594594595,216.57364864864866
2025-03-18T00:00:35,172.2368794326241,156.9964539007092,156.35886524822695,172.67446808510638,157.7631205673759,125.50212765957447,198.68936170212766,127.05035460992907,121.89219858156028,116.98794326241135,121.55460992907801,128.92340425531916,152.06099290780142,95.39787234042554,154.32836879432625,138.4340425531915,124.06950354609928,120.50638297872341,127.06879432624113,216.64751773049645
2025-03-18T00:01:35,171.8506756756757,157.25405405405405,154.1087837837838,172.60608108108107,158.33175675675676,124.91013513513514,199.1527027027027,127.13648648648649,121.76013513513513,116.5418918918919,121.08986486486486,128.33716216216217,151.875,94.84391891891892,154.56283783783783,138.47837837837838,123.5972972972973,120.99121621621622,126.19932432432432,216.47770270270271
2025-03-18T00:01:35,171.98080877313228,156.81836874571624,154.69568197395478,172.82385195339273,157.85880740233037,125.31254283755997,198.6538725154215,127.20973269362577,121.92597669636737,116.73954763536669,121.27210418094586,128.3139136394791,151.66278272789583,95.06854009595614,154.62714187799864,138.32899246058943,123.89581905414667,120.67580534612749,126.49965729952022,216.48526387936943
2025-03-18T00:02:35,171.325,157.6804054054054,154.67635135135134,173.8918918918919,157.29594594594596,125.47364864864865,198.37094594594595,127.32432432432432,121.65810810810811,117.21148648648649,120.97567567567567,128.77229729729729,151.7891891891892,95.1668918918919,154.98175675675677,138.37432432432433,123.85135135135135,120.74256756756756,126.31283783783783,216.8945945945946
2025-03-18T00:02:35,171.325,157.6804054054054,154.67635135135134,173.8918918918919,157.29594594594596,125.47364864864865,198.37094594594595,127.32432432432432,121.65810810810811,117.21148648648649,120.97567567567567,128.77229729729729,151.7891891891892,95.1668918918919,154.98175675675677,138.37432432432433,123.85135135135135,120.74256756756756,126.31283783783783,216.8945945945946
2025-03-18T00:03:35,170.3831081081081,157.46824324324325,153.98918918918918,173.2445945945946,157.9885135135135,126.27635135135135,197.2337837837838,128.36891891891892,121.95743243243243,117.07702702702703,120.74459459459459,128.3993243243243,151.37567567567567,95.35743243243243,154.5033783783784,138.3777027027027,123.44932432432432,120.54729729729729,126.73310810810811,216.60743243243243
2025-03-18T00:03:35,170.3831081081081,157.46824324324325,153.98918918918918,173.2445945945946,157.9885135135135,126.27635135135135,197.2337837837838,128.36891891891892,121.95743243243243,117.07702702702703,120.74459459459459,128.3993243243243,151.37567567567567,95.35743243243243,154.5033783783784,138.3777027027027,123.44932432432432,120.54729729729729,126.73310810810811,216.60743243243243
2025-03-18T00:04:35,170.96891891891892,156.57162162162163,151.45337837837837,172.4966216216216,157.25743243243244,126.21283783783784,196.20135135135135,128.4195945945946,121.62364864864865,117.18378378378378,120.85202702702702,127.80405405405405,150.73648648648648,95.39594594594594,155.3141891891892,138.4310810810811,122.98445945945946,120.12635135135135,127.04391891891892,217.36621621621623
2025-03-18T00:04:35,170.96891891891892,156.57162162162163,151.45337837837837,172.4966216216216,157.25743243243244,126.21283783783784,196.20135135135135,128.4195945945946,121.62364864864865,117.18378378378378,120.85202702702702,127.80405405405405,150.73648648648648,95.39594594594594,155.3141891891892,138.4310810810811,122.98445945945946,120.12635135135135,127.04391891891892,217.36621621621623
2025-03-18T00:05:35,171.38783783783785,157.05337837837837,150.9722972972973,172.6054054054054,157.15472972972972,125.89324324324325,197.0412162162162,128.7141891891892,121.19662162162162,117.38108108108108,120.82837837837837,127.68243243243244,150.94594594594594,95.41824324324324,156.21216216216217,138.33310810810812,123.9054054054054,119.40405405405406,126.27027027027027,217.2864864864865
2025-03-18T00:05:35,171.38783783783785,157.05337837837837,150.9722972972973,172.6054054054054,157.15472972972972,125.89324324324325,197.0412162162162,128.7141891891892,121.19662162162162,117.38108108108108,120.82837837837837,127.68243243243244,150.94594594594594,95.41824324324324,156.21216216216217,138.33310810810812,123.9054054054054,119.40405405405406,126.27027027027027,217.2864864864865
2025-03-18T00:06:35,170.76418918918918,156.82297297297296,151.0445945945946,172.7533783783784,157.5283783783784,125.91216216216216,197.17297297297299,129.22094594594594,120.97027027027028,116.89324324324325,120.93648648648649,126.93378378378378,151.26554054054054,95.30743243243244,157.15472972972972,138.66351351351352,124.09121621621621,119.54121621621621,126.38445945945946,218.60608108108107
2025-03-18T00:06:35,170.76418918918918,156.82297297297296,151.0445945945946,172.7533783783784,157.5283783783784,125.91216216216216,197.17297297297299,129.22094594594594,120.97027027027028,116.89324324324325,120.93648648648649,126.93378378378378,151.26554054054054,95.30743243243244,157.15472972972972,138.66351351351352,124.09121621621621,119.54121621621621,126.38445945945946,218.60608108108107
2025-03-18T00:07:35,170.5891891891892,157.23783783783784,150.9641891891892,172.47364864864866,157.6006756756757,126.01621621621622,196.7743243243243,129.2418918918919,120.7945945945946,116.84121621621621,120.71081081081081,127.05675675675676,151.41283783783783,95.13648648648649,156.55810810810812,138.60202702702702,124.05472972972973,120.29729729729729,126.51554054054054,218.91013513513514
